CustomerID,Lookalikes
C0001,"[['C0184', 0.9974136092644164], ['C0192', 0.9948802021803695], ['C0120', 0.9933741317997544]]"
C0002,"[['C0134', 0.9921389877537653], ['C0106', 0.9897903766328621], ['C0088', 0.9736774852491792]]"
C0003,"[['C0031', 0.9939300880502397], ['C0052', 0.9938596406387634], ['C0076', 0.9927329824733607]]"
C0004,"[['C0169', 0.9944791784068527], ['C0165', 0.9913307781846847], ['C0082', 0.9888708192809411]]"
C0005,"[['C0007', 0.9973612525614957], ['C0140', 0.9862125097236832], ['C0186', 0.9744311673744878]]"
C0006,"[['C0126', 0.9983159052332736], ['C0137', 0.9964007272364934], ['C0191', 0.9950750995328608]]"
C0007,"[['C0005', 0.9973612525614957], ['C0140', 0.9805771578015335], ['C0186', 0.9709629692482415]]"
C0008,"[['C0189', 0.9820281965450544], ['C0059', 0.9797945498263135], ['C0065', 0.9756513322001825]]"
C0009,"[['C0061', 0.9920418651059608], ['C0062', 0.978440102060547], ['C0103', 0.9690860377939247]]"
C0010,"[['C0062', 0.9934228018516181], ['C0149', 0.976030523538568], ['C0061', 0.9748399431340942]]"
C0011,"[['C0171', 0.9965565842331661], ['C0174', 0.9958186623723205], ['C0155', 0.990897545962252]]"
C0012,"[['C0195', 0.9964662422376669], ['C0003', 0.9784893837788823], ['C0163', 0.9748534663964127]]"
C0013,"[['C0099', 0.971557546081173], ['C0129', 0.9657466892094158], ['C0107', 0.9536378144924216]]"
C0014,"[['C0172', 0.9744480401065384], ['C0089', 0.9505073045369052], ['C0164', 0.9389363877350123]]"
C0015,"[['C0185', 0.9872858853361441], ['C0036', 0.9729427767326073], ['C0125', 0.9711706131216569]]"
C0016,"[['C0183', 0.9926731487679922], ['C0067', 0.9829518492323474], ['C0042', 0.9816744172471337]]"
C0017,"[['C0041', 0.9966635733866913], ['C0081', 0.9892321597954377], ['C0075', 0.988584631856364]]"
C0018,"[['C0046', 0.998052400737571], ['C0194', 0.9926520322795588], ['C0117', 0.9899328972875628]]"
C0019,"[['C0132', 0.997799617430887], ['C0073', 0.9971000719926709], ['C0135', 0.9943369165979024]]"
C0020,"[['C0050', 0.9815576422375033], ['C0035', 0.97629310812887], ['C0026', 0.9719801712079874]]"
